Products,Reactants,Spectators
'C(C)OC(=O)C1=NC=C(C=C1)F',FC=1C=CC(=NC1)C(=O)O; CCO; Cl,[]
'ClC=1C=C(C=CC1)C1=NOC(=N1)C1COCCN1CC=1SC=CN1',ClC=1C=C(C=CC1)C1=NOC(=N1)C1COCCN1; S1C(=NC=C1)C=O; C(C)(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],[]
'COC(C1=CC(=CC(=C1)OC)C#N)=O',COC(C1=CC(C(=O)N)=CC(=C1)OC)=O; c1ccncc1; FC(C(=O)OC(C(F)(F)F)=O)(F)F,[]
"'C(C)(C)(C)OC(=O)N1C(CC(CC1)C)C1=NC(=NO1)C1=CC(=CC=C1)Cl', 'ClC=1C=C(C=CC1)C1=NOC(=N1)C@@H1NCCC@H(C1)C'",C(C)(C)(C)OC(=O)N1C(CC(CC1)C)C(=O)O; CCN(CC)CC; ClC(=O)OCC(C)C; ClC=1C=C(C(=N)NO)C=CC1,[]
'ClC=1C=C(C=CC1)C1=NOC(=N1)C@@H1N(CCC@@H(C1)C)CC1=NC=CC=C1',ClC=1C=C(C=CC1)C1=NOC(=N1)[C@@H]1NCC[C@@H](C1)C; N1=C(C=CC=C1)C=O; C(C)(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],[]
"'N1C(CCCC1)C1=NC(=NO1)C=1C=C(C#N)C=CC1', 'BrCC1=NC=C(C#N)C=C1', 'C(C)(C)N(CC)C(C)C'",CC1=NC=C(C#N)C=C1; O=C1CCC(=O)N1Br; N#CC(C)(C)N=NC(C)(C)C#N; O=CN(C)C,[]
'ONC(=N)C=1SC=CC1',CCO; S1C(=CC=C1)C#N; Cl.NO; [OH-].[Na+],[]
'COC=1C=C(C=CC1)C1=NOC(=N1)C1N(CCCC1)CC1=NC=CC=C1',COC(=O)C1N(CCCC1)CC1=NC=CC=C1; ONC(C1=CC(=CC=C1)OC)=N; CC(C)([O-])C.[Na+],[]
'S1C(=NC=C1)CN1C@@H(CCC1)C1=NC(=NO1)C=1C=C(C#N)C=CC1',N1[C@@H](CCC1)C1=NC(=NO1)C=1C=C(C#N)C=CC1; S1C(=NC=C1)C=O; C(C)(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],[]
'C(#N)C=1C=C(C(=O)O)C=C(C1)OC',COC(C1=CC(=CC(=C1)OC)C#N)=O; [Li+].[OH-],[]
'C(C)(C)(C)OC(=O)N1C(CCCC1)C#N',C(C)(C)(C)OC(=O)N1C(CCCC1)C(=O)O; CCN(CC)CC; ClC(=O)OCC; N,[]
'CC=1C=CC(=NC1)C=O',[Br-].CC=1C=CC(=NC1)[Mg+]; C1CCCO1; O=CN(C)C,[]
'CC1CCCC(N1)C(=O)O',CC1=CC=CC(=N1)C(=O)O,['CCO']
'CC1C(NCCC1)C1=NC(=NO1)C=1C=C(C#N)C=CC1',C(C)(C)(C)OC(=O)N1C(C(CCC1)C)C(=O)O; CCN(CC)CC; ClC(=O)OCC(C)C; ClC=1C=C(C(=N)NO)C=CC1,[]
'FC=1C=C(C=C(C1)C#N)N1C=NC=C1',FC=1C=C(C=C(C1)Br)N1C=NC=C1; [Br-]; O=CN(C)C,[]
'N1C(CCCC1)C1=NC(=NO1)C=1C=C(C#N)C=CC1',C(C)(C)(C)OC(=O)N1C(CCCC1)C1=NC(=NO1)C1=CC(=CC=C1)C#N,[]
'CC@@H1C@@H(N(CCC1)CC1=NC=CC=C1)C1=NC(=NO1)C=1C=C(C#N)C=CC1',CC1C(NCCC1)C1=NC(=NO1)C=1C=C(C#N)C=CC1; N1=C(C=CC=C1)C=O; C(C)(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],[]
'CC=1N(C2=NC(=CC(=C2N1)NCCCl)C)C1=C(C=C(C=C1C)C)C',CC=1N(C2=NC(=CC(=C2N1)NC(CCl)=O)C)C1=C(C=C(C=C1C)C)C; CSC.B,[]
'C(C1=CC=CC=C1)NC1=C(C(=NC(=C1)C)Cl)N+(=O)O-',C(C1=CC=CC=C1)NC1=C(C(=NC(=C1)C)O)[N+](=O)[O-]; P(=O)(Cl)(Cl)Cl,[]
'CC1=CC(=C2C(=N1)N(C=N2)C2=C(C=C(C=C2C)C)C)NC(CCl)=O',CC1=CC(=C2C(=N1)N(C=N2)C2=C(C=C(C=C2C)C)C)N; C(C)(C)N(C(C)C)CC; ClCC(=O)Cl; C([O-])([O-])=O.[K+].[K+],[]
'C(C)OC1=C(C=C(CCNCCN)C=C1)OC',NCCNC(CC1=CC(=C(C=C1)OCC)OC)=O,[]
'NCCNC1=CC(=NC=2C=C3C(=CC=CN3C21)C2=C(C=C(C=C2C)C)C)C',ClC1=CC(=NC=2C=C3C(=CC=CN3C21)C2=C(C=C(C=C2C)C)C)C,[]
'CC=1N(C2=NC(=CC(=C2N1)N)C)C1=C(C=C(C=C1C)C)C',CC=1N(C2=NC(=CC(=C2N1)NCC1=CC=CC=C1)C)C1=C(C=C(C=C1C)C)C,[]
'NC=1C(=NN(C1C1=C(C=CC=C1Cl)Cl)C)C(=O)OCC',ClC1=C(C(=CC=C1)Cl)C(C(C(C(=O)OCC)=O)=NO)=O; Cl; CNN,[]
'C(C1=CC=CC=C1)NC1=C(C(=NC(=C1)C)O)N+(=O)O-',ClC1=C(C(=NC(=C1)C)O)[N+](=O)[O-]; C(C1=CC=CC=C1)N,[]
'N1=C(C=CC=C1)C(C#N)C1=C(C=C(C=C1C)C)C',CC1=C(C(=CC(=C1)C)C)CC#N; Brc1ccccn1; CC(C)([O-])C.[K+]; [Cl-].[NH4+],[]
'C(C)OC1=C(C=C(C=C1)CCNCCNC1=NC(=NC(=C1)NC1=C(C=C(C=C1C)C)C)C)OC',C(C)OC1=C(C=C(C=C1)CC(=O)NCCNC1=NC(=NC(=C1)NC1=C(C=C(C=C1C)C)C)C)OC,[]
'ClC1=NC(=NC(=C1N)Cl)C',ClC1=NC(=NC(=C1[N+](=O)[O-])Cl)C,['CC(O)=O']
'COC1=CC=C(C=C1)CC(=O)NCCNC1=NC(=NC2=C1N(C=C2C2=C(C=C(C=C2C)OC)C)C)C',ClC=1C2=C(N=C(N1)C)C(=CN2C)C2=C(C=C(C=C2C)OC)C; NCCNC(CC1=CC=C(C=C1)OC)=O; O,[]
'Cl',ClC=1C2=C(N=C(N1)C)N(C(=C2C)C)C2=C(C=C(C=C2C)C)C; C(C)OC1=C(C=C(CCNCCN)C=C1)OC; O,[]
'ClC1=C(C=CC(=C1)Cl)N1C(=NC=2C1=NC(=CC2N)C)C',ClC1=C(C=CC(=C1)Cl)N1C(=NC=2C1=NC(=CC2NCC2=CC=C(C=C2)OC)C)C; COc1ccccc1; OC(=O)C(F)(F)F; S(O)(O)(=O)=O,[]
'CC=1N(C2=NC(=CC(=C2N1)NCCNC1CCCCC1)C)C1=C(C=C(C=C1C)C)C',CC=1N(C2=NC(=CC(=C2N1)NCCCl)C)C1=C(C=C(C=C1C)C)C; C1(CCCCC1)N,[]
'ClC1=NC(=NC=2C=C3C(=CC=CN3C21)C2=C(C=C(C=C2C)C)C)C',CC=1N=C(C2=C(C=C3C(=CC=CN23)C2=C(C=C(C=C2C)C)C)N1)O; P(=O)(Cl)(Cl)Cl,[]
'ClCCNC1=C2C(=NC(=C1)C)N(C=N2)C2=C(C=C(C=C2C)C)C',CC1=CC(=C2C(=N1)N(C=N2)C2=C(C=C(C=C2C)C)C)NC(CCl)=O; CSC.B,[]
'NCCNC1=NC(=NC=2C1=NN(C2C2=C(C=CC=C2Cl)Cl)C)C',ClC1=C(C(=CC=C1)Cl)C=1N(N=C2C1N=C(N=C2Cl)C)C,[]
'C(C)OC1=C(C=C(C=C1)CC(=O)NCCNC1=NC(=NC(=C1)NC1=C(C=C(C=C1C)C)C)C)OC',NCCNC1=NC(=NC(=C1)NC1=C(C=C(C=C1C)C)C)C; C(C)OC1=C(C=C(CCN)C=C1)OC; [P-](F)(F)(F)(F)(F)F.N1(N=NC2=C1C=CC=C2)O[P+](N(C)C)(N(C)C)N(C)C,[]
'ClC1=C(C=CC(=C1)Cl)N1C(=NC=2C1=NC(=CC2NCCCl)C)C',ClC1=C(C=CC(=C1)Cl)N1C(=NC=2C1=NC(=CC2NC(CCl)=O)C)C; CSC.B,[]
'ClC1=CC(=NC=2C=C3C(=CC=CN3C21)C2=C(C=C(C=C2C)C)C)C',CC=1C=C(C2=C(C=C3C(=CC=CN23)C2=C(C=C(C=C2C)C)C)N1)O.OC1=CC(=NC=2C(=C3C=CC=CN3C21)C2=C(C=C(C=C2C)C)C)C; P(=O)(Cl)(Cl)Cl,[]
'ClC1=C(C=CC(=C1)Cl)N1C(=NC=2C1=NC(=CC2NCCNC2CCCC2)C)C',ClC1=C(C=CC(=C1)Cl)N1C(=NC=2C1=NC(=CC2NCCCl)C)C; C1(CCCC1)N,[]
'CC=1N(C2=NC(=CC(=C2N1)NC(CCl)=O)C)C1=C(C=C(C=C1C)C)C',CC=1N(C2=NC(=CC(=C2N1)N)C)C1=C(C=C(C=C1C)C)C; C(C)(C)N(C(C)C)CC; ClCC(=O)Cl; C([O-])([O-])=O.[K+].[K+],[]
'ClC1=C(C(=CC=C1)Cl)C(CC(C(=O)OCC)=O)=O',ClC1=C(C(=CC=C1)Cl)C(C)=O; C(C(=O)OCC)(=O)OCC; [H-].[Na+]; Cl,[]
'NC=1C(=C2C=CC=CN2C1C(=O)OCC)C1=C(C=C(C=C1C)C)C',BrCC(=O)OCC; N1=C(C=CC=C1)C(C#N)C1=C(C=C(C=C1C)C)C; C([O-])([O-])=O.[K+].[K+]; CC(C)([O-])C.[K+],['CS(=O)C']
'C1(CCCC1)NCCNC1=NC(=NC=2C=C3C(=CC=CN3C21)C2=C(C=C(C=C2C)C)C)C',NCCNC1=NC(=NC=2C=C3C(=CC=CN3C21)C2=C(C=C(C=C2C)C)C)C; O=C1CCCC1; CC(O)=O; C(C)(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],[]
'COC=1C=C(C=CC1OC)CC(=O)NCCNC1=C(C(=NC(=C1)C)OC1=C(C=C(C=C1C)C)C)C',CC=1C(=NC(=CC1NCCNC)C)OC1=C(C=C(C=C1C)C)C; COC=1C=C(C=CC1OC)CC(=O)O; C(CCl)Cl; On1nnc2ccccc12,[]
'C(C)OC1=C(C=C(C=C1)CCNCCNC1=C2C(=NC(=C1)C)N(C=N2)C2=C(C=C(C=C2C)C)C)OC',ClCCNC1=C2C(=NC(=C1)C)N(C=N2)C2=C(C=C(C=C2C)C)C; C(C)OC1=C(C=C(CCN)C=C1)OC,[]
'C(C)OC1=C(C=C(C=C1)CCNCCNC1=CC(=NC=2C=C3C(=CC=CN3C21)C2=C(C=C(C=C2C)C)C)C)OC',C(C)OC1=C(C=C(C=C1)CC(=O)NCCNC1=CC(=NC=2C=C3C(=CC=CN3C21)C2=C(C=C(C=C2C)C)C)C)OC,[]
'ClC1=C(C=CC(=C1)Cl)N1C(=NC=2C1=NC(=CC2NC(CCl)=O)C)C',ClC1=C(C=CC(=C1)Cl)N1C(=NC=2C1=NC(=CC2N)C)C; C(C)(C)N(C(C)C)CC; ClCC(=O)Cl; C([O-])([O-])=O.[K+].[K+],[]
'ClC1=C(C(=CC=C1)Cl)C(C(C(C(=O)OCC)=O)=NO)=O',Cl; N(=O)[O-].[Na+]; ClC1=C(C(=CC=C1)Cl)C(CC(C(=O)OCC)=O)=O,[]
'NC1=C(C(C(CC1(C)NCC1=CC=CC=C1)(C)C)NC1=NC=CC=C1)C',CC1(CC(C(=C(C1NC1=NC=CC=C1)C)[N+](=O)[O-])(C)NCC1=CC=CC=C1)C,['CC(O)=O']
'CC1=CC(=C2C(=N1)N(C=N2)C2=C(C=C(C=C2C)C)C)N',CC=1N(C2=NC(=CC(=C2N1)NCC1=CC=CC=C1)C)C1=C(C=C(C=C1C)C)C,[]
'CCCCCCCCCCCCCC(O-)=O',NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O; CCO; CCO,[]
'BrC=1C=C2C(=CC=NC2=CC1)N1CCC(CC1)C(=O)OCC',BrC=1C=C2C(=CC=NC2=CC1)Cl; N1CCC(CC1)C(=O)OCC,[]
'BrC1=CC=2C(=NOC2C2=CC=C(C=C2)F)C=C1',BrC1=CC=C(C=C1)[N+](=O)[O-]; FC1=CC=C(C=C1)CC#N; [OH-].[Na+]; O,[]
'CC1=NNC=C1C=1C=C2C(=CC=NC2=CC1)N1C=CN(C=C1)S(=O)(=O)N',CC1=NN(C=C1C=1C=C2C(=CC=NC2=CC1)N1C=CN(C=C1)S(=O)(=O)N)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1; Cl,[]
'CC1=NNC=C1C=1C=C2C(=CC=NC2=CC1)C1=CC=C(C=C1)O',CC1=NN(C=C1C=1C=C2C(=CC=NC2=CC1)C1=CC=C(C=C1)O)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1; Cl; [OH-].[Na+]; C([O-])(O)=O.[Na+],"['O', 'CCOC(C)=O']"
'NC1=C(C=CC=C1)NC1=CC(=C(C(=O)OCC)C=C1)F',FC1=C(C(=O)OCC)C=CC(=C1)NC1=C(C=CC=C1)[N+](=O)[O-]; [Cl-].[NH4+]; CO,[]
'FC1=CC=C(C=C1)C1=NN(C=C1C=1C=C(C=2N(C1)C(=CN2)C=2SC=CN2)C#N)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2',ClC=1C=2N(C=C(C1)C=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)F)C(=CN2)C=2SC=CN2; CN(C(C)=O)C,"['O', 'CCOC(C)=O']"
'COCCN(S(=O)(=O)C=1SC(=CC1)C1=NC=NC2=CC=C(C=C12)C=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)F)C',CNS(=O)(=O)C=1SC(=CC1)C1=NC=NC2=CC=C(C=C12)C=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)F; COCCCl,[]
'CN(C(=O)C=1SC(=CC1)C1=NN(C=C1C=1C=CC=2N(C1)C(=CN2)C=2SC=CN2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C',S1C(=NC=C1)C1=CN=C2N1C=C(C=C2)C=2C(=NN(C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(S2)C(=O)O; CCN(CC)CC; ClC(=O)OCC(C)C; CNC; O1CCCC1,[]
'BrC=1C=C2C(=NC=NC2=CC1)C=1SC=CC1',BrC=1C=C2C(=NC=NC2=CC1)Cl; C(CCC)[Sn](C=1SC=CC1)(CCCC)CCCC,[]
'FC(S(=O)(=O)C1=CC=C(OC2CCN(CC2)C2=CC=NC3=CC=C(C=C23)C=2C(=NN(C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C(F)(F)F)C=C1)(F)F',BrC=1C=C2C(=CC=NC2=CC1)N1CCC(CC1)OC1=CC=C(C=C1)S(=O)(=O)C(F)(F)F; FC(C1=NN(C=C1B(O)O)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)(F)F,[]
'ClCCN(S(=O)(=O)C=1SC(=CC1)C1=NC=NC2=CC=C(C=C12)C=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)F)C',CNS(=O)(=O)C=1SC(=CC1)C1=NC=NC2=CC=C(C=C12)C=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)F; [H-].[Na+]; ClCCCl; ClCCCl; O,[]
'BrC=1C=C2C(=CC=NC2=CC1)N1CCC(CC1)OC1=NC=CC=C1',BrC=1C=C2C(=CC=NC2=CC1)Cl; Cl.Cl.N1CCC(CC1)OC1=NC=CC=C1,[]
'FC(F)(F)SC1=CC=C(OC2CCN(CC2)C(=O)OC(C)(C)C)C=C1',FC(F)(F)SC1=CC=C(C=C1)O; OC1CCN(CC1)C(=O)OC(C)(C)C; C1(=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1; O=C(/N=N/C(=O)OCC)OCC,[]
'CC1=NN(C=C1C=1C=C2C(=CC=NC2=CC1)N1CCN(CC1)C(=O)N1CCOCC1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1',N1(C=NC=C1)C(=O)N1CCN(CC1)C1=CC=NC2=CC=C(C=C12)C=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C; C1COCCN1; CCOC(C)=O,[]
'ClC=1C(=NC=CC1)NCCO',ClC1=NC=CC=C1Cl; NCCO; C([O-])(O)=O.[Na+],[]
'IC1=CC2=C(N=C(S2)CCCC#N)C=C1',NC1=CC2=C(N=C(S2)CCCC#N)C=C1; CC(C)CCON=O; ICI,[]
'CC1=NNC=C1C=1C=C2C(=CC=NC2=CC1)N1CCN(CC1)C(=O)N',CC1=NN(C=C1C=1C=C2C(=CC=NC2=CC1)N1CCN(CC1)C(=O)N)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1; Cl,[]
'FC1=CC=C(C=C1)C1=NNC=C1C=1C=CC=2N(C1)C(=CN2)C2=NC=CC=C2',FC1=CC=C(C=C1)C1=NN(C=C1C=1C=CC=2N(C1)C(=CN2)C2=NC=CC=C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2; Cl; O1CCCC1; [OH-].[Na+],['O']
'CN(C(=O)N1CCOCC1)C1=CC=C(C=C1)C1=NN(C=C1C=1C=CC=2N(C1)C(=CN2)C2=NC=CC=C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2',[H-].[Na+]; N1=C(C=CC=C1)C1=CN=C2N1C=C(C=C2)C=2C(=NN(C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)NC(=O)N2CCOCC2; CI; O,['CN(C=O)C']
'Cl.Cl.CC1=NNC=C1C=1C=C2C(=CC=NC2=CC1)C1=NC=CC=C1',CC1=NN(C=C1C=1C=C2C(=CC=NC2=CC1)C1=NC=CC=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1; Cl; O1CCCC1; [OH-].[Na+],"['O', 'CCOC(C)=O']"
'BrC=1C=CC=2N(C1)C(=CN2)I',IN1C(=O)CCC1=O; BrC=1C=CC=2N(C1)C=CN2; S(=S)(=O)([O-])[O-].[Na+].[Na+]; O,[]
'O1CCN(CC1)CCOC1=CC=C(C=C1)C1=NN(C=C1C=1C=CC=2N(C1)C(=CN2)C2=NC=CC=C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2',N1=C(C=CC=C1)C1=CN=C2N1C=C(C=C2)C=2C(=NN(C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)O; Cl.ClCCN1CCOCC1,[]
'N1=C(C=CC=C1)C1=CN=C2N1C=C(C=C2)C=2C(=NN(C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)O',N1=C(C=CC=C1)C1=CN=C2N1C=C(C=C2)C=2C(=NN(C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)OCOCC[Si](C)(C)C; CN(P(N(C)C)N(C)C)C; CCOC(C)=O; [Cl-].[NH4+],[]
'CN(S(=O)(=O)C=1SC(=CC1)C1=NC=NC2=CC=C(C=C12)C=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)F)CCN1CCN(CC1)C',ClCCN(S(=O)(=O)C=1SC(=CC1)C1=NC=NC2=CC=C(C=C12)C=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)F)C; CN1CCNCC1; CCN(CC)CC; CN(C=O)C,[]
'Cl.Cl.CN(CCN(C(=O)N1CCN(CC1)C1=CC=NC2=CC=C(C=C12)C=1C(=NNC1)C)C)C',CN(CCN(C(=O)N1CCN(CC1)C1=CC=NC2=CC=C(C=C12)C=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C)C)C; Cl,[]
'CC1=CC=C(CN2CCN(CC2)C2=NC=NC3=CC=C(C=C23)C2=NN(C=C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1',N1(CCNCC1)C1=NC=NC2=CC=C(C=C12)C1=NN(C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1; ClCC1=CC=C(C=C1)C; C([O-])([O-])=O.[K+].[K+],[]
'IC1=CN=C2N1C=C(C=C2)C=2C(=NN(C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)S(=O)(=O)C',IC1=CN=C2N1C=C(C=C2)C=2C(=NN(C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)SC; O; O1CCCC1,[]
'BrC1=CC=C(S1)C1=CN=C2N1C=C(C=C2)C=2C(=NN(C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)F',BrN1C(=O)CCC1=O; FC1=CC=C(C=C1)C1=NN(C=C1C=1C=CC=2N(C1)C(=CN2)C=2SC=CC2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2; S(=S)(=O)([O-])[O-].[Na+].[Na+],[]
'FC1=C(C=CC(=C1)C)C(C)=O',BrC1=C(C=C(C=C1)C)F; C(CCC)[Sn](C(=C)OCC)(CCCC)CCCC,"['Cc1ccccc1', 'CCOC(C)=O']"
'CS(=O)(=O)C1=CC=C(C=C1)N1CCNCC1',BrC1=CC=C(C=C1)S(=O)(=O)C; C1CNCCN1,[]
'FC1=CC=C(C=C1)C1=NN(C=C1C=1C=CC=2N(C1)C(=CN2)C2=CC=C(OCCCNC(CCC(=O)OC)=O)C=C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2',FC1=CC=C(C=C1)C1=NN(C=C1C=1C=CC=2N(C1)C(=CN2)C2=CC=C(OCCCN)C=C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2; ClC(CCC(=O)OC)=O,[]
'C(C)(=O)NCCCNC(C1=CC=C(C=C1)C1=CN=C2N1C=C(C=C2)C=2C(=NN(C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)F)=O',CC(=O)OC(C)=O; NCCCNC(C1=CC=C(C=C1)C1=CN=C2N1C=C(C=C2)C=2C(=NN(C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)F)=O; O1CCCC1; c1ccncc1,[]
'BrC=1C=C2C(=CC=NC2=CC1)N1CC@@H(CC1)OC',BrC=1C=C2C(=CC=NC2=CC1)Cl; Cl.CO[C@H]1CNCC1,[]
'BrC=1C=C2C(=NC=NC2=CC1)C=1OC(=NN1)C1CC1',C(=O)(Cl)Cl.C1CC1; BrC=1C=C2C(=NC=NC2=CC1)C(=O)NN; C([O-])(O)=O.[Na+]; C([O-])(O)=O.[Na+]; C(=O)(Cl)Cl.C1CC1; C([O-])(O)=O.[Na+],['O1CCCC1']
'BrC=1C=CC=2N(C1)C(=CN2)C=2OC(=NN2)S(=O)(=O)C',ClC1=CC(=CC=C1)C(=O)OO; BrC=1C=CC=2N(C1)C(=CN2)C=2OC(=NN2)SC; ClCCl; S(=S)(=O)([O-])[O-].[Na+].[Na+],[]
'CSC1=CC=C(S1)C(=O)C1CCN(CC1)C(=O)OC(C)(C)C',OC(C1CCN(CC1)C(=O)OC(C)(C)C)C=1SC(=CC1)SC,[]
'BrC=1SC(=CC1)SC',CSC=1SC=CC1; BrN1C(=O)CCC1=O; S(=S)(=O)([O-])[O-].[Na+].[Na+]; C([O-])(O)=O.[Na+],[]
'FC1=CC=C(C=C1)NC(=O)C1CCN(CC1)C1=CC=NC2=CC=C(C=C12)C=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C(F)(F)F',FC1=CC=C(C=C1)NC(=O)C1CCN(CC1)C1=CC=NC2=CC=C(C=C12)Br; FC(C1=NN(C=C1B(O)O)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)(F)F,[]
'C1(=CC=C(C=C1)S(=O)(=O)OC(CNC1=NC=C(C=C1)Br)C#N)C',BrC=1C=CC(=NC1)NCC(C#N)O; C(C)(C)N(CC)C(C)C; [Cl-].C1(=CC=C(C=C1)S(=O)(=O)O)C; C([O-])(O)=O.[Na+],[]
'CN(C(COC1=CC=C(C=C1)C1=NN(C=C1C=1C=CC=2N(C1)C(=CN2)C2=NC=CC=C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)=O)C',N1=C(C=CC=C1)C1=CN=C2N1C=C(C=C2)C=2C(=NN(C2)C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=C(C=C2)O; ClCC(=O)N(C)C,[]
'CN(S(=O)(=O)C=1SC(=CC1)C1=NC=NC2=CC=C(C=C12)C=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)F)CCN1CCOCC1',CNS(=O)(=O)C=1SC(=CC1)C1=NC=NC2=CC=C(C=C12)C=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)F; Cl.ClCCN1CCOCC1,[]
'COC=1C=C(CN2CCNCC2)C=CC1',COC=1C=C(CCl)C=CC1; C(=O)(OC(C)(C)C)N1CCNCC1; CCN(CC)CC,[]
'CC1=NN(C=C1C=1C=C2C(=CC=NC2=CC1)N1C=CN(C=C1)S(=O)(=O)N)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1',CC1=NN(C=C1C=1C=C2C(=CC=NC2=CC1)N1CCNCC1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1; NS(N)(=O)=O,[]
'BrC=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)N(C)C',C(C)(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+]; BrC=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)N; C(=O)N; C([O-])(O)=O.[Na+],['O']
'COC1=CC=C(C=N1)C1=CC=NC2=CC=C(C=C12)C=1C(=NNC1)C(F)(F)F',COC1=CC=C(C=N1)C1=CC=NC2=CC=C(C=C12)C=1C(=NN(C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C(F)(F)F,[]
